customer_id,first_order_date,last_order_date,total_orders,total_spent,avg_order_value,favorite_item,preferred_channel,lifetime_value_tier,churn_risk
CUST_001,2025-10-15,2025-11-02,12,389.88,32.49,Classic Burger,in_person,high,low
CUST_002,2025-10-20,2025-11-01,8,245.92,30.74,Buffalo Wings,ubereats,medium,low
CUST_003,2025-10-22,2025-11-02,15,512.85,34.19,Combo Meal,doordash,high,low
CUST_004,2025-10-18,2025-10-30,5,118.95,23.79,French Fries,in_person,low,medium
CUST_005,2025-10-25,2025-11-02,10,329.90,32.99,Spicy Chicken,ubereats,medium,low
CUST_006,2025-10-16,2025-11-01,18,623.82,34.66,Classic Burger,in_person,high,low
CUST_007,2025-10-28,2025-10-30,2,49.98,24.99,Veggie Power Bowl,pickup,low,high
CUST_008,2025-10-19,2025-11-02,14,478.86,34.20,Buffalo Wings,doordash,high,low
CUST_009,2025-10-23,2025-11-01,9,298.91,33.21,Combo Meal,in_person,medium,low
CUST_010,2025-10-17,2025-11-02,16,556.84,34.80,Classic Burger,ubereats,high,low
CUST_011,2025-10-21,2025-10-31,6,179.94,29.99,Fish Tacos,pickup,medium,medium
CUST_012,2025-10-24,2025-11-02,11,378.89,34.44,BBQ Pulled Pork,in_person,medium,low
CUST_013,2025-10-26,2025-11-01,7,223.93,31.99,Grilled Chicken Salad,doordash,medium,low
CUST_014,2025-10-20,2025-11-02,13,445.87,34.30,Combo Meal,ubereats,high,low
CUST_015,2025-10-29,2025-11-02,4,134.96,33.74,Spicy Chicken,in_person,low,medium
CUST_016,2025-10-18,2025-11-01,17,589.83,34.70,Classic Burger,doordash,high,low
CUST_017,2025-10-22,2025-10-31,5,149.95,29.99,Loaded Nachos,in_person,low,medium
CUST_018,2025-10-27,2025-11-02,8,267.92,33.49,Buffalo Wings,ubereats,medium,low
CUST_019,2025-10-19,2025-11-02,14,489.86,34.99,Combo Meal,in_person,high,low
CUST_020,2025-10-25,2025-11-01,9,305.91,33.99,Veggie Power Bowl,pickup,medium,low

